Data,Lancamento,Detalhe,Local,Valor ,TipoDeLancamento
12/01/2024,alimentação ,mercantil,,R$ 122,crédito
15/01/2024,Pix - Recebido,,5099260843,R$ 1.411,entrada
15/01/2024,Pix - Recebido,,5102699730,R$ 208,entrada
15/01/2024,Pix - Enviado,,11501,-R$ 50,saída 
16/01/2024,Pagamento de Boleto,,11601,-R$ 1.700,saída 
16/01/2024,Pix - Enviado,,11602,-R$ 12,saída 
18/01/2024,Pix-Envio devolvido,,5969264651,R$ 90,entrada
18/01/2024,Pix - Enviado,,11801,-R$ 100,saída 
22/01/2024,Pix - Recebido,,5150929197,R$ 584,entrada
22/01/2024,Pix - Enviado,,12201,-R$ 1.218,saída 
25/01/2024,Pix - Recebido,,5168893298,R$ 792,entrada
29/01/2024,Pagamento de Boleto,,12901,-R$ 792,saída 
01/02/2024,moradia,salário,,R$ 5.884,entrada
02/02/2024,Compra com Cartão,,164513,-R$ 15,saída 
06/02/2024,Pix - Enviado,,20601,-R$ 15,saída 
06/02/2024,Pix - Enviado,,20602,-R$ 23,saída 
08/02/2024,Transferência recebida,,603545400015303,R$ 4.582,entrada
08/02/2024,Pagamento Fatura de Água,,46819,-R$ 103,saída 
09/02/2024,Pix - Recebido,,91519429492202,R$ 69,entrada
09/02/2024,Pagto cartão crédito,,450354500144293,-R$ 3.750,saída 
09/02/2024,Pix - Enviado,,20901,-R$ 257,saída 
14/02/2024,Pagamento de Boleto,,21401,-R$ 320,saída 
15/02/2024,Depósito Online TAA,,833072892165542,R$ 2.039,entrada
16/02/2024,Pix - Recebido,,161538406880152,R$ 100,entrada
16/02/2024,Compra com Cartão,,165345,-R$ 16,saída 
16/02/2024,Pagamento de Boleto,,21602,-R$ 2.264,saída 
16/02/2024,Pix - Enviado,,21603,-R$ 20,saída 
19/02/2024,Transferência recebida,,608081000031460,R$ 1.000,entrada
19/02/2024,Pix - Enviado,,21901,-R$ 1.000,saída 
28/02/2024,Pix - Recebido,,281133335324042,R$ 100,entrada
28/02/2024,Pix - Enviado,,22801,-R$ 55,saída 
28/02/2024,Pix - Enviado,,22802,-R$ 36,saída 
01/03/2024,Transferência recebida,,603546000125662,R$ 934,entrada
01/03/2024,Pagamento de Boleto,,30101,-R$ 747,saída 
01/03/2024,moradia,salário,,R$ 5.884,entrada
04/03/2024,Pix - Enviado,,30401,-R$ 6,saída 
05/03/2024,Pix - Recebido,,51949393867162,R$ 135,entrada
05/03/2024,Compra com Cartão,,156422,-R$ 4,saída 
07/03/2024,Pagamento de Boleto,,30701,-R$ 130,saída 
07/03/2024,Pix-Recebimento devolvido,,30702,-R$ 66,saída 
08/03/2024,Pix - Enviado,,30801,-R$ 60,saída 
11/03/2024,Transferência recebida,,603545400015303,R$ 4.593,entrada
11/03/2024,Pagamento de Boleto,,31101,-R$ 344,saída 
11/03/2024,Pagamento Fatura de Água,,46819,-R$ 83,saída 
12/03/2024,Pix - Recebido,,122104570756152,R$ 1.000,entrada
12/03/2024,Pix - Recebido,,122114055921232,R$ 330,entrada
12/03/2024,Pagto cartão crédito,,450354500190000,-R$ 5.624,saída 
15/03/2024,Depósito Online TAA,,833071477111703,R$ 1.906,entrada
18/03/2024,Pagamento de Boleto,,31801,-R$ 1.908,saída 
28/03/2024,Compra com Cartão,,171183,-R$ 100,saída 
01/04/2024,Cobrança de Juros,,511058916,-R$ 1,saída 
01/04/2024,Cobrança de I.O.F.,,391100701,R$ 0,saída 
01/04/2024,Cobrança de Juros,,511058916,-R$ 1,saída 
01/04/2024,Cobrança de I.O.F.,,391100701,R$ 0,saída 
01/04/2024,moradia,salário,,R$ 5.884,entrada
02/04/2024,Pix - Recebido,02/04 16:38 05419502585 Diocleciano Si,120867236561041,R$ 135,entrada
02/04/2024,Pix - Recebido,02/04 16:38 05419502585 Diocleciano Si,120867236561041,R$ 135,entrada
08/04/2024,Transferência recebida,08/04 10:28 VICTOR CESAR SANTOS MELO,603545400015303,R$ 10.130,entrada
08/04/2024,Pagto cartão crédito,,450354500390000,-R$ 6.468,saída 
08/04/2024,Pix - Enviado,08/04 10:55 Energisa Sergipe - Distrib,40801,-R$ 308,saída 
08/04/2024,Pix - Enviado,08/04 11:26 Telefonica Brasil S A,40802,-R$ 150,saída 
08/04/2024,Pix - Enviado,08/04 11:29 Geap,40803,-R$ 1.167,saída 
08/04/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 76,saída 
08/04/2024,Transferência recebida,08/04 10:28 VICTOR CESAR SANTOS MELO,603545400015303,R$ 10.130,entrada
08/04/2024,Pagto cartão crédito,,450354500390000,-R$ 6.468,saída 
08/04/2024,Pix - Enviado,08/04 10:55 Energisa Sergipe - Distrib,40801,-R$ 308,saída 
08/04/2024,Pix - Enviado,08/04 11:26 Telefonica Brasil S A,40802,-R$ 150,saída 
08/04/2024,Pix - Enviado,08/04 11:29 Geap,40803,-R$ 1.167,saída 
08/04/2024,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 76,saída 
10/04/2024,Pix-Recebimento devolvido,10/04 09:41 DIOCLECIANO SILVA SANTOS,41001,-R$ 67,saída 
10/04/2024,Pix - Enviado,10/04 12:40 Cleverton Santos Silva,41002,-R$ 25,saída 
10/04/2024,Pix-Recebimento devolvido,10/04 09:41 DIOCLECIANO SILVA SANTOS,41001,-R$ 67,saída 
10/04/2024,Pix - Enviado,10/04 12:40 Cleverton Santos Silva,41002,-R$ 25,saída 
12/04/2024,Pix - Recebido,12/04 19:12 03203437589 Fernando Lucas,129599330641311,R$ 900,entrada
12/04/2024,Pix - Recebido,12/04 19:12 03203437589 Fernando Lucas,129599330641311,R$ 900,entrada
15/04/2024,Depósito Online TAA,15/04 08:22 SOP-JARDINS-ARACAJU,833070067082255,R$ 1.816,entrada
15/04/2024,Compra com Cartão,13/04 10:24 PAG*Nancivieirasanto,137494,-R$ 6,saída 
15/04/2024,Compra com Cartão,14/04 10:39 MP*GARRAFA,238376,-R$ 10,saída 
15/04/2024,Pix - Enviado,15/04 11:31 Tricia Joias,41501,-R$ 20,saída 
15/04/2024,Pix - Enviado,15/04 23:06 Claro,41502,-R$ 281,saída 
15/04/2024,Depósito Online TAA,15/04 08:22 SOP-JARDINS-ARACAJU,833070067082255,R$ 1.816,entrada
15/04/2024,Compra com Cartão,13/04 10:24 PAG*Nancivieirasanto,137494,-R$ 6,saída 
